Run,AES_Time_ms,RSA_Time_ms
1,17.962,42.237
2,4.81,41.832
3,7.04,40.562
4,5.388,43.443
5,5.919,42.026
6,5.812,38.462
7,6.538,39.13
8,7.838,38.887
9,5.806,34.744
10,6.154,36.957
11,5.876,38.356
12,7.711,31.102
13,7.503,33.19
14,5.892,31.163
15,7.653,34.233
16,4.949,33.679
17,5.544,30.003
18,6.002,35.041
19,4.482,30.872
20,5.188,31.068
21,4.21,29.073
22,5.31,29.258
23,4.966,33.217
24,5.464,31.015
25,4.756,31.576
26,5.373,33.448
27,4.767,28.748
28,4.397,28.38
29,4.416,30.509
30,5.289,33.807
31,5.017,28.291
32,6.073,28.195
33,4.848,30.663
34,4.221,30.88
35,5.389,27.747
36,7.54,28.734
37,5.646,29.599
38,6.337,28.218
39,5.541,32.635
40,13.504,33.621
41,6.787,37.097
42,6.94,35.675
43,4.839,33.436
44,5.199,32.398
45,6.768,31.836
46,6.196,32.628
47,7.535,33.086
48,5.775,29.735
49,6.159,29.112
50,9.114,30.768
51,7.532,36.333
52,13.211,36.225
53,9.423,34.55
54,9.035,30.08
55,7.144,31
56,5.622,30.112
57,8.48,26.576
58,5.269,27.115
59,6.121,26.874
60,6.46,26.276
61,5.093,28.783
62,5.213,27.502
63,5.314,25.57
64,5.465,26.646
65,6.349,27.277
66,8.785,27.122
67,10.634,26.544
68,7.11,25.785
69,6.853,29.421
70,5.865,26.826
71,5.943,27.949
72,5.893,27.881
73,5.274,26.703
74,7.044,27.863
75,7.488,25.055
76,6.926,26.497
77,6.926,26.192
78,6.153,25.095
79,6.217,26.897
80,6.419,26.426
81,6.837,27.664
82,6.205,26.503
83,8.13,27.2
84,7.337,27.548
85,8.253,28.437
86,6.991,28.378
87,5.827,29.351
88,7.203,29.361
89,7.594,31.446
90,6.318,29.902
91,7.93,28.774
92,7.248,28.749
93,7.678,28.189
94,9.018,28.791
95,7.037,27.376
96,7.942,29.196
97,11.644,28.045
98,11.385,31.366
99,7.756,28.526
100,6.937,25.569
